bucket,op,nf,motivo
INDENIZACAO,(sem op),259863,extravio
INDENIZACAO,DUILIO,101263,extravio
INDENIZACAO,DUILIO,103936,ressarcimento
INDENIZACAO,DUILIO,106697,extravio
INDENIZACAO,DUILIO,109881,falta_volume_oc19
INDENIZACAO,DUILIO,112378,extravio
INDENIZACAO,DUILIO,112689,extravio
INDENIZACAO,DUILIO,113279,extravio
INDENIZACAO,DUILIO,113521,extravio
INDENIZACAO,DUILIO,135724,extravio
INDENIZACAO,DUILIO,139993,extravio
INDENIZACAO,DUILIO,14310,extravio
INDENIZACAO,DUILIO,1482472,extravio
INDENIZACAO,DUILIO,1494315,avaria
INDENIZACAO,DUILIO,149678,extravio
INDENIZACAO,DUILIO,1542,extravio
INDENIZACAO,DUILIO,15493,extravio
INDENIZACAO,DUILIO,155619,extravio
INDENIZACAO,DUILIO,155726,falta_volume_oc19
INDENIZACAO,DUILIO,155908,extravio
INDENIZACAO,DUILIO,155926,extravio
INDENIZACAO,DUILIO,156022,falta_volume_oc19
INDENIZACAO,DUILIO,2005438,ressarcimento
INDENIZACAO,DUILIO,2013088,extravio
INDENIZACAO,DUILIO,2013324,extravio
INDENIZACAO,DUILIO,2033198,extravio
INDENIZACAO,DUILIO,2047101,extravio
INDENIZACAO,DUILIO,2050205,extravio
INDENIZACAO,DUILIO,220391,extravio
INDENIZACAO,DUILIO,221146,extravio
INDENIZACAO,DUILIO,2221998,extravio
INDENIZACAO,DUILIO,2235031,extravio
INDENIZACAO,DUILIO,2239234,extravio
INDENIZACAO,DUILIO,2249199,extravio
INDENIZACAO,DUILIO,2250955,extravio_localizado
INDENIZACAO,DUILIO,2252014,extravio
INDENIZACAO,DUILIO,2253363,extravio
INDENIZACAO,DUILIO,226024,extravio
INDENIZACAO,DUILIO,2262615,avaria
INDENIZACAO,DUILIO,2267939,extravio
INDENIZACAO,DUILIO,226915,extravio
INDENIZACAO,DUILIO,2269995,extravio
INDENIZACAO,DUILIO,2271974,extravio
INDENIZACAO,DUILIO,2277031,falta_volume_oc19
INDENIZACAO,DUILIO,2281942,falta_volume_oc19
INDENIZACAO,DUILIO,2284214,extravio
INDENIZACAO,DUILIO,2288798,falta_volume_oc19
INDENIZACAO,DUILIO,2295145,extravio
INDENIZACAO,DUILIO,2305444,extravio
INDENIZACAO,DUILIO,2308381,extravio
INDENIZACAO,DUILIO,2308644,extravio
INDENIZACAO,DUILIO,2310359,extravio
INDENIZACAO,DUILIO,2310406,extravio
INDENIZACAO,DUILIO,2315030,extravio
INDENIZACAO,DUILIO,2319459,avaria
INDENIZACAO,DUILIO,257706,falta_volume_oc19
INDENIZACAO,DUILIO,265668,extravio
INDENIZACAO,DUILIO,284924,ressarcimento
INDENIZACAO,DUILIO,285910,extravio
INDENIZACAO,DUILIO,285918,extravio
INDENIZACAO,DUILIO,291499,extravio
INDENIZACAO,DUILIO,292328,extravio
INDENIZACAO,DUILIO,293153,extravio
INDENIZACAO,DUILIO,293361,extravio
INDENIZACAO,DUILIO,3005545,extravio
INDENIZACAO,DUILIO,3013531,extravio
INDENIZACAO,DUILIO,3017232,extravio
INDENIZACAO,DUILIO,3017236,extravio
INDENIZACAO,DUILIO,3029724,extravio
INDENIZACAO,DUILIO,3033949,extravio
INDENIZACAO,DUILIO,304253,falta_volume_oc19
INDENIZACAO,DUILIO,304298,falta_volume_oc19
INDENIZACAO,DUILIO,304880,extravio
INDENIZACAO,DUILIO,3057294,extravio
INDENIZACAO,DUILIO,3060947,extravio
INDENIZACAO,DUILIO,3067878,extravio
INDENIZACAO,DUILIO,330878,extravio
INDENIZACAO,DUILIO,331696,extravio
INDENIZACAO,DUILIO,332212,extravio
INDENIZACAO,DUILIO,397370,extravio
INDENIZACAO,DUILIO,40370,extravio
INDENIZACAO,DUILIO,40859,extravio
INDENIZACAO,DUILIO,40866,extravio
INDENIZACAO,DUILIO,42854,extravio
INDENIZACAO,DUILIO,43196,extravio
INDENIZACAO,DUILIO,43330,extravio
INDENIZACAO,DUILIO,43608,extravio
INDENIZACAO,DUILIO,43698,extravio
INDENIZACAO,DUILIO,45888,extravio
INDENIZACAO,DUILIO,46796,extravio
INDENIZACAO,DUILIO,49312,extravio
INDENIZACAO,DUILIO,49822,extravio
INDENIZACAO,DUILIO,534215,falta_volume_oc19
INDENIZACAO,DUILIO,545479,extravio
INDENIZACAO,DUILIO,545885,extravio
INDENIZACAO,DUILIO,550103,extravio
INDENIZACAO,DUILIO,574302,extravio
INDENIZACAO,DUILIO,594801,ressarcimento
INDENIZACAO,DUILIO,601391,ressarcimento
INDENIZACAO,DUILIO,603936,falta_volume_oc19
INDENIZACAO,DUILIO,606478,extravio
INDENIZACAO,DUILIO,607474,extravio
INDENIZACAO,DUILIO,608272,extravio
INDENIZACAO,DUILIO,608917,extravio
INDENIZACAO,DUILIO,612470,extravio
INDENIZACAO,DUILIO,616941,extravio
INDENIZACAO,DUILIO,617089,extravio
INDENIZACAO,DUILIO,623361,extravio
INDENIZACAO,DUILIO,650361,extravio
INDENIZACAO,DUILIO,650915,extravio
INDENIZACAO,DUILIO,651873,extravio
INDENIZACAO,DUILIO,652729,falta_volume_oc19
INDENIZACAO,DUILIO,698328,extravio
INDENIZACAO,DUILIO,706448,extravio
INDENIZACAO,DUILIO,717238,extravio
INDENIZACAO,DUILIO,750340,falta_volume_oc19
INDENIZACAO,DUILIO,762333,extravio
INDENIZACAO,DUILIO,764788,extravio
INDENIZACAO,DUILIO,767065,extravio
INDENIZACAO,DUILIO,771820,avaria
INDENIZACAO,DUILIO,781858,extravio
INDENIZACAO,DUILIO,787271,ressarcimento
INDENIZACAO,DUILIO,802221,extravio
INDENIZACAO,DUILIO,804215,extravio
INDENIZACAO,DUILIO,804631,extravio
INDENIZACAO,DUILIO,812604,extravio
INDENIZACAO,DUILIO,816494,extravio
INDENIZACAO,DUILIO,820852,falta_volume_oc19
INDENIZACAO,DUILIO,825808,extravio
INDENIZACAO,DUILIO,829744,extravio
INDENIZACAO,DUILIO,833767,extravio
INDENIZACAO,DUILIO,835865,extravio
INDENIZACAO,DUILIO,841356,extravio
INDENIZACAO,DUILIO,844682,falta_volume_oc19
INDENIZACAO,DUILIO,847618,extravio
INDENIZACAO,DUILIO,848858,extravio
INDENIZACAO,DUILIO,851371,extravio
INDENIZACAO,DUILIO,851392,extravio
INDENIZACAO,DUILIO,853002,extravio
INDENIZACAO,DUILIO,853058,extravio
INDENIZACAO,DUILIO,853094,extravio
INDENIZACAO,DUILIO,853164,extravio
INDENIZACAO,DUILIO,853231,extravio
INDENIZACAO,DUILIO,855021,extravio
INDENIZACAO,DUILIO,860296,extravio
INDENIZACAO,DUILIO,861078,extravio
INDENIZACAO,DUILIO,866252,extravio
INDENIZACAO,DUILIO,868469,extravio
INDENIZACAO,DUILIO,868471,extravio
INDENIZACAO,DUILIO,868486,extravio
INDENIZACAO,DUILIO,868963,extravio
INDENIZACAO,DUILIO,874918,falta_volume_oc19
INDENIZACAO,DUILIO,875776,extravio
INDENIZACAO,DUILIO,877226,extravio
INDENIZACAO,DUILIO,877679,extravio
INDENIZACAO,DUILIO,878925,extravio
INDENIZACAO,DUILIO,878953,extravio
INDENIZACAO,DUILIO,879104,extravio
INDENIZACAO,DUILIO,879297,extravio
INDENIZACAO,DUILIO,926945,extravio
INDENIZACAO,DUILIO,931170,extravio
INDENIZACAO,DUILIO,939904,extravio
INDENIZACAO,DUILIO,943835,extravio
INDENIZACAO,ISA E KAROL,10083,extravio
INDENIZACAO,ISA E KAROL,10200,extravio
INDENIZACAO,ISA E KAROL,10237,extravio
INDENIZACAO,ISA E KAROL,10277,extravio
INDENIZACAO,ISA E KAROL,10334,extravio
INDENIZACAO,ISA E KAROL,10389,extravio
INDENIZACAO,ISA E KAROL,10418,extravio
INDENIZACAO,ISA E KAROL,114571,extravio
INDENIZACAO,ISA E KAROL,116554,extravio
INDENIZACAO,ISA E KAROL,12635,ressarcimento
INDENIZACAO,ISA E KAROL,1364,ressarcimento
INDENIZACAO,ISA E KAROL,174952,extravio
INDENIZACAO,ISA E KAROL,175621,extravio
INDENIZACAO,ISA E KAROL,1797,extravio
INDENIZACAO,ISA E KAROL,189137,extravio
INDENIZACAO,ISA E KAROL,196140,extravio
INDENIZACAO,ISA E KAROL,19669,extravio
INDENIZACAO,ISA E KAROL,201064,extravio
INDENIZACAO,ISA E KAROL,204530,extravio
INDENIZACAO,ISA E KAROL,24674,avaria
INDENIZACAO,ISA E KAROL,284078,extravio
INDENIZACAO,ISA E KAROL,32020,extravio
INDENIZACAO,ISA E KAROL,32887,extravio
INDENIZACAO,ISA E KAROL,39650,extravio
INDENIZACAO,ISA E KAROL,422230,extravio
INDENIZACAO,ISA E KAROL,43891,avaria
INDENIZACAO,ISA E KAROL,43996,ressarcimento
INDENIZACAO,ISA E KAROL,44331,extravio
INDENIZACAO,ISA E KAROL,453640,extravio
INDENIZACAO,ISA E KAROL,4569,extravio
INDENIZACAO,ISA E KAROL,47,extravio
INDENIZACAO,ISA E KAROL,478489,extravio
INDENIZACAO,ISA E KAROL,5393,extravio
INDENIZACAO,ISA E KAROL,5558833,extravio
INDENIZACAO,ISA E KAROL,5570657,extravio
INDENIZACAO,ISA E KAROL,55905,extravio
INDENIZACAO,ISA E KAROL,5606002,extravio
INDENIZACAO,ISA E KAROL,5620033,extravio
INDENIZACAO,ISA E KAROL,5620411,extravio
INDENIZACAO,ISA E KAROL,5631361,extravio
INDENIZACAO,ISA E KAROL,5634829,extravio
INDENIZACAO,ISA E KAROL,58962,extravio
INDENIZACAO,ISA E KAROL,600938,extravio
INDENIZACAO,ISA E KAROL,61,extravio
INDENIZACAO,ISA E KAROL,646431,extravio
INDENIZACAO,ISA E KAROL,653455,extravio
INDENIZACAO,ISA E KAROL,65515,extravio
INDENIZACAO,ISA E KAROL,655184,extravio
INDENIZACAO,ISA E KAROL,655922,extravio
INDENIZACAO,ISA E KAROL,656363,falta_volume_oc19
INDENIZACAO,ISA E KAROL,66765,extravio
INDENIZACAO,ISA E KAROL,6985,extravio
INDENIZACAO,ISA E KAROL,7219,ressarcimento
